timeframe,target_level,files_tested,sessions_tested,candles_tested,signals_tested,total_trades,gross_pnl_before_brokerage,brokerage_and_charges,net_pnl_after_brokerage,win_rate_pct,ending_equity,max_drawdown,max_drawdown_pct,profit_factor,sharpe_ratio
5m,1,21,411,29298,699,694,-1079386.49,1706883.09,-2786269.58,28.82,-1786269.58,-2794755.94,-279.4756,0.2435,1.1554
5m,2,21,411,29298,699,694,-895740.17,1707628.07,-2603368.24,27.67,-1603368.24,-2638090.23,-263.809,0.2978,-1.9619
5m,3,21,411,29298,699,694,-862042.27,1707475.86,-2569518.13,27.52,-1569518.13,-2612377.47,-261.2377,0.3079,1.2647
5m,4,21,411,29298,699,694,-849349.9,1707486.6,-2556836.5,27.52,-1556836.5,-2608295.31,-260.8295,0.3113,2.0652
5m,5,21,411,29298,699,694,-859148.43,1707483.14,-2566631.57,27.52,-1566631.57,-2618090.38,-261.809,0.3086,1.3257
15m,1,21,396,9564,239,234,-334761.29,461092.38,-795853.67,34.62,204146.33,-830318.31,-83.0318,0.292,-11.9204
15m,2,21,396,9564,239,234,-377770.1,461155.75,-838925.85,34.62,161074.15,-858729.35,-85.8729,0.2529,-14.1373
15m,3,21,396,9564,239,234,-377770.1,461155.75,-838925.85,34.62,161074.15,-858729.35,-85.8729,0.2529,-14.1373
15m,4,21,396,9564,239,234,-377770.1,461155.75,-838925.85,34.62,161074.15,-858729.35,-85.8729,0.2529,-14.1373
15m,5,21,396,9564,239,234,-377770.1,461155.75,-838925.85,34.62,161074.15,-858729.35,-85.8729,0.2529,-14.1373
30m,1,21,382,4241,126,121,-219835.64,178734.11,-398569.75,30.58,601430.25,-398635.34,-39.8635,0.21,-13.8406
30m,2,21,382,4241,126,121,-239556.75,178742.96,-418299.71,30.58,581700.29,-418365.3,-41.8365,0.1709,-15.4546
30m,3,21,382,4241,126,121,-239556.75,178742.96,-418299.71,30.58,581700.29,-418365.3,-41.8365,0.1709,-15.4546
30m,4,21,382,4241,126,121,-239556.75,178742.96,-418299.71,30.58,581700.29,-418365.3,-41.8365,0.1709,-15.4546
30m,5,21,382,4241,126,121,-239556.75,178742.96,-418299.71,30.58,581700.29,-418365.3,-41.8365,0.1709,-15.4546
1h,1,21,190,1290,34,32,8883.36,7940.55,942.81,50.0,1000942.81,-26681.1,-2.6017,1.0227,0.3056
1h,2,21,190,1290,34,32,4166.2,7941.9,-3775.7,50.0,996224.3,-26681.1,-2.6138,0.9092,-1.1224
1h,3,21,190,1290,34,32,4166.2,7941.9,-3775.7,50.0,996224.3,-26681.1,-2.6138,0.9092,-1.1224
1h,4,21,190,1290,34,32,4166.2,7941.9,-3775.7,50.0,996224.3,-26681.1,-2.6138,0.9092,-1.1224
1h,5,21,190,1290,34,32,4166.2,7941.9,-3775.7,50.0,996224.3,-26681.1,-2.6138,0.9092,-1.1224
